date,n1,n2,n3,n4,n5,n6,n7
2024-04-02,11233638424349,233638424349,3638424349,38424349,424349,4349,49
2024-04-05,481824263546,81824263546,1824263546,24263546,263546,3546,46
2024-04-09,452230444650,52230444650,2230444650,30444650,444650,4650,50
2024-04-12,17253035364450,253035364450,3035364450,35364450,364450,4450,50
2024-04-16,15192228343646,192228343646,2228343646,28343646,343646,3646,46
2024-04-19,671415283942,71415283942,1415283942,15283942,283942,3942,42
2024-04-23,7141726293839,141726293839,1726293839,26293839,293839,3839,39
2024-04-26,232336384048,32336384048,2336384048,36384048,384048,4048,48
2024-04-30,581821233148,81821233148,1821233148,21233148,233148,3148,48
2024-05-03,351620313438,51620313438,1620313438,20313438,313438,3438,38
2024-05-07,3223243464748,223243464748,3243464748,43464748,464748,4748,48
2024-05-10,241428293043,41428293043,1428293043,28293043,293043,3043,43
2024-05-14,10151827283243,151827283243,1827283243,27283243,283243,3243,43
2024-05-17,5132728324550,132728324550,2728324550,28324550,324550,4550,50
2024-05-21,1467344046,467344046,67344046,7344046,344046,4046,46
2024-05-24,16911313950,6911313950,911313950,11313950,313950,3950,50
2024-05-28,26921223243,6921223243,921223243,21223243,223243,3243,43
2024-05-31,141819232829,41819232829,1819232829,19232829,232829,2829,29
2024-06-04,561215183437,61215183437,1215183437,15183437,183437,3437,37
2024-06-07,231215323336,31215323336,1215323336,15323336,323336,3336,36
2024-06-11,3303944454749,303944454749,3944454749,44454749,454749,4749,49
2024-06-14,5112931383949,112931383949,2931383949,31383949,383949,3949,49
2024-06-18,17193234374445,193234374445,3234374445,34374445,374445,4445,45
2024-06-21,8123233344647,123233344647,3233344647,33344647,344647,4647,47
2024-06-25,3112840434445,112840434445,2840434445,40434445,434445,4445,45
2024-06-28,151112132333,51112132333,1112132333,12132333,132333,2333,33
2024-07-02,1101116192339,101116192339,1116192339,16192339,192339,2339,39
2024-07-05,261419252744,61419252744,1419252744,19252744,252744,2744,44
2024-07-09,19222933414550,222933414550,2933414550,33414550,414550,4550,50
